Language	Parameter	Cognateset
Stieng	all	1508
Chrau	all	1508
M.Rolom	all	1508
M.Bunong	all	1508
M.Dip	all	2648
Ma1	all	3004
Ma2	all	3005
Sre	all	3008
KahoChil	all	3008
Kor=Cua	all	3001
Hadang	all	3002
Hre	all	2648
Rengao	all	2648
Didra	all	2648
Sedang	all	976
Panong	all	3001
Halang	all	3009
Jeh	all	0
Veh	all	3003
Je	all	3007
Arak	all	3000
Bahnar	all	1987
Tempuan	all	2648
Oy	all	1514
Nhaheun	all	1514
Jru	all	1514
Tariang	all	354
Kantu	all	3509
Katu	all	3509
Dakkang	all	3413
Lao-Katu	all	3408
Taoih	all	1506
Ong	all	1506
Taoi	all	1506
Nge	all	0
Kui	all	3411
Neu	all	3411
Bru	all	3410
Mak	all	3011
So	all	3011
Tri	all	3011
Nyakur	all	0
Mon	all	1506
Semelai	all	519
SemoqBeri	all	519
Kensiw	all	3800
Jahai	all	3800
Semai	all	1514
Temiar	all	3801
Khmer	all	3006
K.Surin	all	3006
Chong-H	all	0
Chong	all	0
Kasong	all	0
Samre	all	0
Phong(V)	all	4527
Tuum	all	4527
Liha	all	4527
Cuoi	all	4528
Vietnamese	all	4529
MuongKoi	all	4529
Tho Mon	all	4528
Ruc	all	4527
KhaPhong	all	4531
Malieng	all	4530
ThavungSo	all	4527
Mang	all	3053
Paliu	all	3563
Bugan	all	4469
Khmu	all	1153
KxinhMul	all	4105
Ksinmul	all	1950
Khang	all	1934
Bit	all	1933
Mlabri	all	4106
Pray	all	4107
Iduh	all	1508
Khamet	all	4465
Khme	all	3006
Shuangdiang	all	4465
Yongde	all	4449
Mang'an	all	4465
Plang	all	1506
Wa	all	1506
Guanshuang	all	1506
Man'e	all	1506
De'ang	all	4450
Rumai	all	4339
Khasi	all	519
Kharia	all	0
Juang	all	0
Bonda	all	3561
Sora	all	1987
Parengi	all	0
Santali	all	3563
Mundari	all	0
Korku	all	3564
Nancawri	all	976
M.Dip	all	3006
Hre	all	3006
Rengao	all	3006
Didra	all	3006
Plang	all	3006
Stieng	ashes	3013
Chrau	ashes	2052
M.Bunong	ashes	2052
M.Dip	ashes	2052
Ma1	ashes	0
Ma2	ashes	821
Sre	ashes	2052
KahoChil	ashes	2052
Kor=Cua	ashes	1
Kadong	ashes	1
Hadang	ashes	1
Hre	ashes	1
Rengao	ashes	1
Didra	ashes	1
Sedang	ashes	3014
Panong	ashes	3
Halang	ashes	3
Jeh	ashes	3
Veh	ashes	1
Je	ashes	1
Arak	ashes	2052
Bahnar	ashes	3012
Tempuan	ashes	1
Oy	ashes	3935
Nhaheun	ashes	2649
Jru	ashes	2649
Tariang	ashes	1
Kantu	ashes	1
Katu	ashes	1
Dakkang	ashes	1
Pakoh	ashes	2
Taoih	ashes	2
Ong	ashes	2
Taoi	ashes	2
Nge	ashes	2
Kui	ashes	821
Neu	ashes	821
Bru	ashes	2
BruVK	ashes	2
Mak	ashes	2
Tri	ashes	2
Nyakur	ashes	4
Mon	ashes	4
Semelai	ashes	0
SemoqBeri	ashes	1374
Kensiw	ashes	3802
Jahai	ashes	0
Jah-Hut	ashes	0
Semai	ashes	3803
Temiar	ashes	0
Khmer	ashes	1374
K.Surin	ashes	1374
Chong-H	ashes	2
Chong	ashes	2
Kasong	ashes	4707
Samre	ashes	2
Phong(V)	ashes	2014
Tuum	ashes	2014
Liha	ashes	2014
Cuoi	ashes	0
Vietnamese	ashes	1
MuongKoi	ashes	2014
Tho Mon	ashes	2014
Ruc	ashes	1374
Arem	ashes	2014
KhaPhong	ashes	2014
Malieng	ashes	1374
ThavungSo	ashes	2014
Thavung	ashes	2014
Mang	ashes	2
Paliu	ashes	2
Bugan	ashes	0
Khmu	ashes	2
KxinhMul	ashes	2
Ksinmul	ashes	2
Khang	ashes	4082
Bit	ashes	2
Mlabri	ashes	2
Pray	ashes	2014
Phong	ashes	2
Iduh	ashes	2
Hu	ashes	1
Khamet	ashes	4345
Khme	ashes	4345
Shuangdiang	ashes	4345
Yongde	ashes	4345
Mang'an	ashes	4345
Plang	ashes	1373
Wa	ashes	1373
Guanshuang	ashes	1373
Man'e	ashes	1373
De'ang	ashes	2016
Rumai	ashes	2016
Khasi	ashes	4073
Kharia	ashes	3565
Juang	ashes	3566
Bonda	ashes	3568
Sora	ashes	3566
Santali	ashes	3569
Mundari	ashes	3569
Korku	ashes	3566
Car	ashes	3969
Nancawri	ashes	3969
Stieng	bark	1372
Chrau	bark	3015
M.Rolom	bark	1372
M.Bunong	bark	1372
M.Dip	bark	173
Ma1	bark	173
Ma2	bark	173
Sre	bark	3015
KahoChil	bark	173
Kor=Cua	bark	173
Kadong	bark	3015
Hre	bark	3016
Rengao	bark	3015
Didra	bark	3015
Sedang	bark	3015
Halang	bark	3015
Jeh	bark	173
Veh	bark	173
Je	bark	3286
Arak	bark	172
Bahnar	bark	3015
Tempuan	bark	3015
Oy	bark	172
Nhaheun	bark	3015
Jru	bark	3015
Tariang	bark	3015
Kantu	bark	174
Katu	bark	174
Dakkang	bark	3076
Lao-Katu	bark	174
Taoih	bark	808
Ong	bark	808
Taoi	bark	808
Nge	bark	173
Kui	bark	0
Neu	bark	171
BruVK	bark	173
Mak	bark	3076
So	bark	173
Tri	bark	0
Nyakur	bark	174
Mon	bark	174
Semelai	bark	0
Kensiw	bark	1354
Jah-Hut	bark	1354
Semai	bark	1372
Temiar	bark	2538
Khmer	bark	172
K.Surin	bark	172
Chong-H	bark	2538
Chong	bark	2538
Kasong	bark	808
Samre	bark	0
Phong(V)	bark	2540
Tuum	bark	2540
Liha	bark	2540
Cuoi	bark	4532
Vietnamese	bark	4532
MuongKoi	bark	1354
Tho Mon	bark	1354
Ruc	bark	173
Arem	bark	173
KhaPhong	bark	172
Malieng	bark	172
Thavung	bark	4532
Mang	bark	1354
Paliu	bark	2540
Bugan	bark	2540
Khmu	bark	1376
KxinhMul	bark	173
Ksinmul	bark	2540
Khang	bark	1372
Bit	bark	1376
Mlabri	bark	2538
Pray	bark	1376
Phong	bark	178
Iduh	bark	178
Khamet	bark	0
Khme	bark	2538
Shuangdiang	bark	2538
Yongde	bark	4394
Pangpin	bark	2538
Gantang	bark	4394
Mang'an	bark	4362
Plang	bark	2538
Wa	bark	2101
Man'e	bark	2101
De'ang	bark	4419
Rumai	bark	4419
Khasi	bark	3712
Kharia	bark	4394
Juang	bark	4394
Bonda	bark	3571
Sora	bark	1625
Parengi	bark	3571
Santali	bark	174
Mundari	bark	174
Korku	bark	3571
Nancawri	bark	4040
Kharia	bark	1354
Juang	bark	1354
Santali	bark	1354
Mundari	bark	1354
Chrau	belly	771
M.Dip	belly	771
Ma1	belly	0
Ma2	belly	771
Kor=Cua	belly	1894
Kadong	belly	1894
Hadang	belly	1894
Hre	belly	1894
Didra	belly	207
Sedang	belly	1894
Panong	belly	1894
Jeh	belly	207
Veh	belly	1894
Je	belly	1894
Arak	belly	771
Bahnar	belly	1894
Tempuan	belly	1905
Jru	belly	1894
Tariang	belly	1894
Kantu	belly	2032
Katu	belly	2032
Dakkang	belly	2032
Pakoh	belly	2032
Taoih	belly	2032
Ong	belly	3419
Taoi	belly	771
Nge	belly	1367
Kui	belly	769
Neu	belly	769
BruVK	belly	769
Mak	belly	769
So	belly	769
Tri	belly	769
Nyakur	belly	769
Mon	belly	769
Semelai	belly	3804
SemoqBeri	belly	3804
Kensiw	belly	1656
Jahai	belly	1656
Jah-Hut	belly	1481
Semai	belly	1481
Temiar	belly	1656
Khmer	belly	770
K.Surin	belly	770
Chong	belly	0
Kasong	belly	0
Samre	belly	0
Phong(V)	belly	2032
Tuum	belly	2032
Liha	belly	769
Cuoi	belly	771
