Language	Parameter	Cognateset
*D20B_Vamba_1919	animal	animal-1
*D20B_Vamba_1919	arm	arm-1
*D20B_Vamba_1919	belly	belly-26
*D20B_Vamba_1919	bird	bird-2
*D20B_Vamba_1919	bone	bone-2
*D20B_Vamba_1919	breast	breast-1
*D20B_Vamba_1919	child	child-7
*D20B_Vamba_1919	come	come-33
*D20B_Vamba_1919	dog	dog-1
*D20B_Vamba_1919	ear	ear-4
*D20B_Vamba_1919	egg	egg-18
*D20B_Vamba_1919	elephant	elephant-4
*D20B_Vamba_1919	eye	eye-2
*D20B_Vamba_1919	face	face-4
*D20B_Vamba_1919	fat, oil	fatoil-17
*D20B_Vamba_1919	fingernail	fingernail-27
*D20B_Vamba_1919	fire	fire-29
*D20B_Vamba_1919	fish	fish-1
*D20B_Vamba_1919	five	five-1
*D20B_Vamba_1919	four	four-4
*D20B_Vamba_1919	goat	goat-1
*D20B_Vamba_1919	hair	hair-6
*D20B_Vamba_1919	head	head-3
*D20B_Vamba_1919	heart	heart-1
*D20B_Vamba_1919	house	house-23
*D20B_Vamba_1919	hunger	hunger-7
*D20B_Vamba_1919	iron	iron-26
*D20B_Vamba_1919	knee	knee-14
*D20B_Vamba_1919	knife	knife-26
*D20B_Vamba_1919	leg	leg-17
*D20B_Vamba_1919	moon	moon-18
*D20B_Vamba_1919	mouth	mouth-6
*D20B_Vamba_1919	name	name-4
*D20B_Vamba_1919	navel	navel-12
*D20B_Vamba_1919	neck	neck-16
*D20B_Vamba_1919	night	night-22
*D20B_Vamba_1919	nose	nose-18
*D20B_Vamba_1919	one	one-12
*D20B_Vamba_1919	rain	rain-4
*D20B_Vamba_1919	road	road-22
*D20B_Vamba_1919	salt	salt-19
*D20B_Vamba_1919	skin	skin-1
*D20B_Vamba_1919	sky	sky-3
*D20B_Vamba_1919	sleep	sleep-17
*D20B_Vamba_1919	smoke	smoke-21
*D20B_Vamba_1919	snake	snake-1
*D20B_Vamba_1919	spear	spear-5
*D20B_Vamba_1919	stone	stone-21
*D20B_Vamba_1919	sun	sun-38
*D20B_Vamba_1919	tail	tail-6
*D20B_Vamba_1919	three	three-1
*D20B_Vamba_1919	tongue	tongue-1
*D20B_Vamba_1919	tooth	tooth-3
*D20B_Vamba_1919	tree	tree-1
*D20B_Vamba_1919	two	two-12
*D20B_Vamba_1919	urine	urine-14
*D20B_Vamba_1919	war	war-17
*D20B_Vamba_1919	wind	wind-11
*D20B_Vamba_1919	woman	woman-7
*D304_Homa_1919	animal	animal-1
*D304_Homa_1919	arm	arm-1
*D304_Homa_1919	belly	belly-22
*D304_Homa_1919	bird	bird-4
*D304_Homa_1919	blood	blood-22
*D304_Homa_1919	bone	bone-16
*D304_Homa_1919	breast	breast-12
*D304_Homa_1919	child	child-8
*D304_Homa_1919	come	come-39
*D304_Homa_1919	die	die-10
*D304_Homa_1919	dog	dog-2
*D304_Homa_1919	ear	ear-12
*D304_Homa_1919	eat	eat-1
*D304_Homa_1919	egg	egg-17
*D304_Homa_1919	elephant	elephant-6
*D304_Homa_1919	eye	eye-8
*D304_Homa_1919	face	face-16
*D304_Homa_1919	fat, oil	fatoil-20
*D304_Homa_1919	fingernail	fingernail-23
*D304_Homa_1919	fire	fire-30
*D304_Homa_1919	fire-wood	firewood-22
*D304_Homa_1919	fish	fish-21
*D304_Homa_1919	five	five-6
*D304_Homa_1919	four	four-5
*D304_Homa_1919	give	give-26
*D304_Homa_1919	goat	goat-14
*D304_Homa_1919	ground, soil	groundsoil-30
*D304_Homa_1919	hair	hair-19
*D304_Homa_1919	head	head-13
*D304_Homa_1919	heart	heart-17
*D304_Homa_1919	horn	horn-20
*D304_Homa_1919	house	house-1
*D304_Homa_1919	hunger	hunger-1
*D304_Homa_1919	iron	iron-30
*D304_Homa_1919	kill	kill-19
*D304_Homa_1919	knee	knee-10
*D304_Homa_1919	knife	knife-1
*D304_Homa_1919	know	know-32
*D304_Homa_1919	leg	leg-21
*D304_Homa_1919	man	man-7
*D304_Homa_1919	moon	moon-14
*D304_Homa_1919	mouth	mouth-13
*D304_Homa_1919	name	name-4
*D304_Homa_1919	navel	navel-5
*D304_Homa_1919	neck	neck-7
*D304_Homa_1919	night	night-24
*D304_Homa_1919	nose	nose-20
*D304_Homa_1919	one	one-14
*D304_Homa_1919	rain	rain-15
*D304_Homa_1919	road	road-25
*D304_Homa_1919	salt	salt-5
*D304_Homa_1919	see	see-1
*D304_Homa_1919	shame	shame-5
*D304_Homa_1919	skin	skin-23
*D304_Homa_1919	sky	sky-27
*D304_Homa_1919	sleep	sleep-14
*D304_Homa_1919	smoke	smoke-28
*D304_Homa_1919	snake	snake-15
*D304_Homa_1919	spear	spear-1
*D304_Homa_1919	steal	steal-13
*D304_Homa_1919	stone	stone-20
*D304_Homa_1919	sun	sun-39
*D304_Homa_1919	tail	tail-19
*D304_Homa_1919	three	three-1
*D304_Homa_1919	tongue	tongue-14
*D304_Homa_1919	tooth	tooth-6
*D304_Homa_1919	tree	tree-14
*D304_Homa_1919	two	two-1
*D304_Homa_1919	urine	urine-11
*D304_Homa_1919	village	village-26
*D304_Homa_1919	war	war-21
*D304_Homa_1919	water	water-23
*D304_Homa_1919	wind	wind-23
*D304_Homa_1919	woman	woman-7
*D305_Nyanga-li	animal	animal-1
*D305_Nyanga-li	ashes	ashes-11
*D305_Nyanga-li	bed	bed-26
*D305_Nyanga-li	belly	belly-23
*D305_Nyanga-li	big	big-33
*D305_Nyanga-li	bite	bite-26
*D305_Nyanga-li	blood	blood-23
*D305_Nyanga-li	bone	bone-2
*D305_Nyanga-li	breast	breast-1
*D305_Nyanga-li	child	child-1
*D305_Nyanga-li	come	come-34
*D305_Nyanga-li	count	count-16
*D305_Nyanga-li	dew	dew-29
*D305_Nyanga-li	die	die-10
*D305_Nyanga-li	drink	drink-13
*D305_Nyanga-li	eat	eat-1
*D305_Nyanga-li	egg	egg-3
*D305_Nyanga-li	elephant	elephant-4
*D305_Nyanga-li	fall	fall-1
*D305_Nyanga-li	fat, oil	fatoil-1
*D305_Nyanga-li	feather	feather-22
*D305_Nyanga-li	fingernail	fingernail-7
*D305_Nyanga-li	fire-wood	firewood-1
*D305_Nyanga-li	fish	fish-1
*D305_Nyanga-li	fly	fly-32
*D305_Nyanga-li	four	four-4
*D305_Nyanga-li	give	give-27
*D305_Nyanga-li	goat	goat-16
*D305_Nyanga-li	ground, soil	groundsoil-2
*D305_Nyanga-li	head	head-3
*D305_Nyanga-li	horn	horn-21
*D305_Nyanga-li	house	house-23
*D305_Nyanga-li	hunger	hunger-8
*D305_Nyanga-li	knife	knife-28
*D305_Nyanga-li	know	know-27
*D305_Nyanga-li	liver	liver-27
*D305_Nyanga-li	man	man-2
*D305_Nyanga-li	moon	moon-5
*D305_Nyanga-li	name	name-4
*D305_Nyanga-li	neck	neck-6
*D305_Nyanga-li	night	night-4
*D305_Nyanga-li	nose	nose-6
*D305_Nyanga-li	one	one-17
*D305_Nyanga-li	person	person-11
*D305_Nyanga-li	rain	rain-4
*D305_Nyanga-li	road	road-26
*D305_Nyanga-li	salt	salt-5
*D305_Nyanga-li	see	see-20
*D305_Nyanga-li	shame	shame-10
*D305_Nyanga-li	skin	skin-24
*D305_Nyanga-li	sleep	sleep-1
*D305_Nyanga-li	smoke	smoke-21
*D305_Nyanga-li	stone	stone-23
*D305_Nyanga-li	sun	sun-15
*D305_Nyanga-li	tail	tail-6
*D305_Nyanga-li	ten	ten-1
*D305_Nyanga-li	tongue	tongue-1
*D305_Nyanga-li	tooth	tooth-3
*D305_Nyanga-li	two	two-8
*D305_Nyanga-li	urine	urine-13
*D305_Nyanga-li	village	village-35
*D305_Nyanga-li	war	war-2
*D305_Nyanga-li	water	water-24
*D305_Nyanga-li	woman	woman-28
*D308_Bodo2	animal	animal-1
*D308_Bodo2	arm	arm-14
*D308_Bodo2	ashes	ashes-10
*D308_Bodo2	bark	bark-34
*D308_Bodo2	belly	belly-23
*D308_Bodo2	big	big-38
*D308_Bodo2	bird	bird-2
*D308_Bodo2	bite	bite-27
*D308_Bodo2	blood	blood-20
*D308_Bodo2	bone	bone-16
*D308_Bodo2	breast	breast-1
*D308_Bodo2	burn	burn-24
*D308_Bodo2	cloud	cloud-37
*D308_Bodo2	die	die-1
*D308_Bodo2	dog	dog-2
*D308_Bodo2	drink	drink-2
*D308_Bodo2	ear	ear-9
*D308_Bodo2	eat	eat-6
*D308_Bodo2	egg	egg-3
*D308_Bodo2	eye	eye-2
*D308_Bodo2	fat, oil	fatoil-21
*D308_Bodo2	feather	feather-26
*D308_Bodo2	fingernail	fingernail-28
*D308_Bodo2	fire	fire-4
*D308_Bodo2	fish	fish-22
*D308_Bodo2	fly	fly-6
*D308_Bodo2	give	give-28
*D308_Bodo2	ground, soil	groundsoil-31
*D308_Bodo2	hair	hair-27
*D308_Bodo2	head	head-1
*D308_Bodo2	hear	hear-1
*D308_Bodo2	heart	heart-1
*D308_Bodo2	horn	horn-18
*D308_Bodo2	knee	knee-15
*D308_Bodo2	know	know-30
*D308_Bodo2	leaf	leaf-3
*D308_Bodo2	leg	leg-14
*D308_Bodo2	liver	liver-31
*D308_Bodo2	louse	louse-26
*D308_Bodo2	man	man-30
*D308_Bodo2	moon	moon-19
*D308_Bodo2	mouth	mouth-14
*D308_Bodo2	name	name-4
*D308_Bodo2	neck	neck-18
*D308_Bodo2	night	night-4
*D308_Bodo2	nose	nose-19
*D308_Bodo2	one	one-15
*D308_Bodo2	person	person-9
*D308_Bodo2	rain	rain-16
*D308_Bodo2	road	road-27
*D308_Bodo2	root	root-22
*D308_Bodo2	sand	sand-26
*D308_Bodo2	see	see-1
*D308_Bodo2	skin	skin-26
*D308_Bodo2	sleep	sleep-1
*D308_Bodo2	smoke	smoke-29
*D308_Bodo2	stone	stone-23
*D308_Bodo2	sun	sun-40
*D308_Bodo2	tail	tail-20
*D308_Bodo2	tongue	tongue-13
*D308_Bodo2	tooth	tooth-3
*D308_Bodo2	tree	tree-1
*D308_Bodo2	two	two-14
*D308_Bodo2	walk	walk-4
*D308_Bodo2	water	water-22
*D308_Bodo2	woman	woman-12
*D308_Ebodo	animal	animal-1
*D308_Ebodo	arm	arm-14
*D308_Ebodo	ashes	ashes-10
*D308_Ebodo	bark	bark-34
*D308_Ebodo	bed	bed-30
*D308_Ebodo	belly	belly-23
*D308_Ebodo	big	big-38
*D308_Ebodo	bird	bird-2
*D308_Ebodo	bite	bite-27
*D308_Ebodo	blood	blood-20
*D308_Ebodo	bone	bone-16
