Language	Parameter	Cognateset
Badga	I	i.001
Betta_Kurumba	I	i.001
Brahui	I	i.001
Gondi	I	i.001
Kannada	I	i.001
Kodava	I	i.001
Kolami	I	i.001
Kota	I	i.001
Koya	I	i.001
Kurukh	I	i.001
Kuwi	I	i.001
Kuwi	I	i.001
Malayalam	I	i.001
Malto	I	i.001
Ollari_Gadba	I	i.001
Parji	I	i.001
Tamil	I	i.001
Telugu	I	i.001
Toda	I	i.001
Tulu	I	i.001
Yeruva	I	i.001
Badga	all	all.015
Betta_Kurumba	all	all.009
Brahui	all	all.011
Gondi	all	all.014
Kannada	all	all.015
Kodava	all	all.015
Kolami	all	all.004
Kota	all	all.015
Koya	all	all.001
Koya	all	all.008
Kurukh	all	all.005
Kuwi	all	all.012
Malayalam	all	all.015
Malto	all	all.013
Malto	all	all.003
Tamil	all	all.015
Telugu	all	all.007
Telugu	all	all.001
Telugu	all	all.008
Toda	all	all.006
Tulu	all	all.010
Yeruva	all	all.002
Badga	ashes	ash.007
Betta_Kurumba	ashes	ash.007
Brahui	ashes	ash.005
Gondi	ashes	ash.002
Kannada	ashes	ash.007
Kodava	ashes	ash.007
Kolami	ashes	ash.006
Kota	ashes	ash.007
Koya	ashes	ash.007
Kurukh	ashes	ash.003
Malayalam	ashes	ash.001
Malayalam	ashes	ash.001
Ollari_Gadba	ashes	ash.002
Parji	ashes	ash.002
Tamil	ashes	ash.001
Telugu	ashes	ash.007
Toda	ashes	ash.007
Tulu	ashes	ash.004
Tulu	ashes	ash.004
Yeruva	ashes	ash.007
Badga	bark	bark.005
Betta_Kurumba	bark	bark.011
Brahui	bark	bark.012
Gondi	bark	bark.004
Kannada	bark	bark.008
Kannada	bark	bark.006
Kodava	bark	bark.005
Kodava	bark	bark.009
Kolami	bark	bark.003
Kota	bark	bark.007
Koya	bark	bark.014
Koya	bark	bark.002
Kurukh	bark	bark.001
Malayalam	bark	bark.011
Malayalam	bark	bark.005
Tamil	bark	bark.005
Telugu	bark	bark.014
Telugu	bark	bark.005
Toda	bark	bark.013
Tulu	bark	bark.010
Yeruva	bark	bark.004
Badga	belly	belly.006
Betta_Kurumba	belly	belly.006
Brahui	belly	belly.008
Gondi	belly	belly.008
Kannada	belly	belly.006
Kannada	belly	belly.006
Kodava	belly	belly.006
Kolami	belly	belly.010
Kota	belly	belly.011
Koya	belly	belly.005
Kurukh	belly	belly.007
Kuwi	belly	belly.003
Malayalam	belly	belly.001
Malto	belly	belly.006
Ollari_Gadba	belly	belly.008
Parji	belly	belly.006
Tamil	belly	belly.002
Tamil	belly	belly.009
Tamil	belly	belly.001
Telugu	belly	belly.004
Telugu	belly	belly.006
Toda	belly	belly.001
Tulu	belly	belly.001
Yeruva	belly	belly.001
Yeruva	belly	belly.001
Badga	big	big.008
Betta_Kurumba	big	big.005
Brahui	big	big.003
Gondi	big	big.001
Kannada	big	big.008
Kodava	big	big.002
Kota	big	big.010
Koya	big	big.001
Kurukh	big	big.004
Kuwi	big	big.001
Malayalam	big	big.002
Malto	big	big.001
Ollari_Gadba	big	big.006
Parji	big	big.001
Tamil	big	big.001
Tamil	big	big.001
Telugu	big	big.001
Toda	big	big.009
Tulu	big	big.007
Yeruva	big	big.002
Betta_Kurumba	bird	bird.002
Brahui	bird	bird.005
Gondi	bird	bird.008
Kannada	bird	bird.002
Kannada	bird	bird.002
Kodava	bird	bird.002
Kolami	bird	bird.008
Kota	bird	bird.002
Koya	bird	bird.008
Kurukh	bird	bird.006
Kuwi	bird	bird.004
Malayalam	bird	bird.007
Malayalam	bird	bird.002
Malto	bird	bird.003
Ollari_Gadba	bird	bird.009
Tamil	bird	bird.001
Telugu	bird	bird.002
Telugu	bird	bird.008
Toda	bird	bird.001
Tulu	bird	bird.002
Yeruva	bird	bird.002
Badga	bite	bite.005
Betta_Kurumba	bite	bite.002
Brahui	bite	bite.002
Gondi	bite	bite.005
Kannada	bite	bite.005
Kannada	bite	bite.002
Kodava	bite	bite.002
Kolami	bite	bite.006
Kota	bite	bite.002
Koya	bite	bite.005
Koya	bite	bite.007
Kurukh	bite	bite.005
Kuwi	bite	bite.005
Malayalam	bite	bite.002
Malto	bite	bite.001
Parji	bite	bite.007
Tamil	bite	bite.002
Telugu	bite	bite.007
Toda	bite	bite.003
Tulu	bite	bite.004
Yeruva	bite	bite.002
Badga	black	black.001
Betta_Kurumba	black	black.001
Brahui	black	black.003
Gondi	black	black.001
Kannada	black	black.001
Kannada	black	black.004
Kodava	black	black.001
Kolami	black	black.006
Kota	black	black.001
Koya	black	black.001
Koya	black	black.007
Kurukh	black	black.003
Kuwi	black	black.002
Malayalam	black	black.001
Malto	black	black.005
Tamil	black	black.001
Telugu	black	black.007
Telugu	black	black.007
Toda	black	black.001
Tulu	black	black.001
Yeruva	black	black.001
Badga	blood	blood.005
Badga	blood	blood.001
Betta_Kurumba	blood	blood.005
Brahui	blood	blood.005
Gondi	blood	blood.005
Kannada	blood	blood.001
Kodava	blood	blood.004
Kolami	blood	blood.005
Kota	blood	blood.005
Koya	blood	blood.005
Kurukh	blood	blood.002
Kuwi	blood	blood.005
Malayalam	blood	blood.004
Malayalam	blood	blood.001
Malto	blood	blood.006
Ollari_Gadba	blood	blood.005
Parji	blood	blood.005
Tamil	blood	blood.001
Telugu	blood	blood.005
Telugu	blood	blood.001
Toda	blood	blood.003
Tulu	blood	blood.005
Yeruva	blood	blood.004
Badga	bone	bone.003
Betta_Kurumba	bone	bone.003
Brahui	bone	bone.006
Gondi	bone	bone.005
Kannada	bone	bone.003
Kannada	bone	bone.001
Kodava	bone	bone.001
Kolami	bone	bone.005
Kota	bone	bone.003
Koya	bone	bone.005
Koya	bone	bone.005
Kurukh	bone	bone.004
Malayalam	bone	bone.002
Malayalam	bone	bone.003
Malto	bone	bone.007
Parji	bone	bone.005
Tamil	bone	bone.003
Telugu	bone	bone.005
Telugu	bone	bone.003
Toda	bone	bone.003
Tulu	bone	bone.003
Yeruva	bone	bone.001
Badga	breast	breast.003
Betta_Kurumba	breast	breast.001
Brahui	breast	breast.005
Gondi	breast	breast.008
Kannada	breast	breast.013
Kannada	breast	breast.006
Kodava	breast	breast.007
Kolami	breast	breast.004
Kota	breast	breast.007
Koya	breast	breast.013
Kurukh	breast	breast.014
Kuwi	breast	breast.011
Malayalam	breast	breast.007
Malayalam	breast	breast.003
Malayalam	breast	breast.006
Malto	breast	breast.002
Ollari_Gadba	breast	breast.015
Parji	breast	breast.013
Tamil	breast	breast.003
Tamil	breast	breast.003
Telugu	breast	breast.009
Telugu	breast	breast.006
Toda	breast	breast.010
Tulu	breast	breast.012
Yeruva	breast	breast.007
Badga	burn	burn.008
Betta_Kurumba	burn	burn.007
Betta_Kurumba	burn	burn.008
Brahui	burn	burn.009
Gondi	burn	burn.004
Kannada	burn	burn.011
Kodava	burn	burn.011
Kolami	burn	burn.003
Kota	burn	burn.008
Koya	burn	burn.001
Kurukh	burn	burn.005
Malayalam	burn	burn.008
Malto	burn	burn.002
Tamil	burn	burn.006
Telugu	burn	burn.010
Telugu	burn	burn.001
Toda	burn	burn.008
Tulu	burn	burn.012
Yeruva	burn	burn.011
Badga	claw	claw.001
Betta_Kurumba	claw	claw.005
Brahui	claw	claw.001
Brahui	claw	claw.004
Gondi	claw	claw.001
Kannada	claw	claw.001
Kodava	claw	claw.001
Kolami	claw	claw.001
Kota	claw	claw.005
Koya	claw	claw.001
Kurukh	claw	claw.001
Kuwi	claw	claw.001
Malayalam	claw	claw.003
Malto	claw	claw.001
Ollari_Gadba	claw	claw.002
Parji	claw	claw.001
Tamil	claw	claw.003
Telugu	claw	claw.001
Toda	claw	claw.001
Tulu	claw	claw.001
Yeruva	claw	claw.006
Badga	cloud	cloud.001
Betta_Kurumba	cloud	cloud.003
Brahui	cloud	cloud.007
Gondi	cloud	cloud.008
Kannada	cloud	cloud.003
Kannada	cloud	cloud.010
Kodava	cloud	cloud.003
Kolami	cloud	cloud.004
Kota	cloud	cloud.010
Koya	cloud	cloud.008
Kurukh	cloud	cloud.006
Kuwi	cloud	cloud.002
Kuwi	cloud	cloud.009
Malayalam	cloud	cloud.010
Malto	cloud	cloud.006
Parji	cloud	cloud.005
Tamil	cloud	cloud.010
Telugu	cloud	cloud.008
Telugu	cloud	cloud.010
Telugu	cloud	cloud.003
Toda	cloud	cloud.010
Tulu	cloud	cloud.003
Yeruva	cloud	cloud.003
Badga	cold	cold.006
Betta_Kurumba	cold	cold.009
Brahui	cold	cold.008
Brahui	cold	cold.008
Gondi	cold	cold.003
Kannada	cold	cold.007
Kodava	cold	cold.001
Kodava	cold	cold.007
Kolami	cold	cold.004
Kota	cold	cold.006
Koya	cold	cold.003
Kurukh	cold	cold.005
Malayalam	cold	cold.007
Malto	cold	cold.005
Malto	cold	cold.004
Parji	cold	cold.004
Tamil	cold	cold.002
Telugu	cold	cold.003
Toda	cold	cold.001
Tulu	cold	cold.003
Yeruva	cold	cold.007
Badga	come	come.001
Betta_Kurumba	come	come.001
Brahui	come	come.001
Gondi	come	come.001
Kannada	come	come.001
Kannada	come	come.001
Kodava	come	come.001
Kolami	come	come.001
Koya	come	come.001
Koya	come	come.001
Kurukh	come	come.001
Malayalam	come	come.001
Malto	come	come.001
Ollari_Gadba	come	come.001
Parji	come	come.001
Tamil	come	come.001
Telugu	come	come.001
Telugu	come	come.001
Toda	come	come.001
Tulu	come	come.001
Yeruva	come	come.001
Badga	die	die.006
Betta_Kurumba	die	die.004
Brahui	die	die.006
Gondi	die	die.006
Kannada	die	die.006
Kodava	die	die.006
Kolami	die	die.001
Kota	die	die.002
Koya	die	die.005
Kurukh	die	die.006
Malayalam	die	die.004
Malto	die	die.006
Parji	die	die.006
Tamil	die	die.006
Tamil	die	die.006
Telugu	die	die.006
Toda	die	die.003
Tulu	die	die.006
Yeruva	die	die.006
Badga	dog	dog.001
Betta_Kurumba	dog	dog.001
Brahui	dog	dog.004
Gondi	dog	dog.001
Kannada	dog	dog.001
Kodava	dog	dog.001
Kolami	dog	dog.001
Kota	dog	dog.001
Koya	dog	dog.001
Kurukh	dog	dog.005
Malayalam	dog	dog.001
Malayalam	dog	dog.003
Malto	dog	dog.004
Ollari_Gadba	dog	dog.001
Parji	dog	dog.001
Tamil	dog	dog.001
Telugu	dog	dog.002
Toda	dog	dog.001
Tulu	dog	dog.001
Yeruva	dog	dog.001
Badga	drink	drink.002
Betta_Kurumba	drink	drink.002
