Language	Parameter	Cognateset
eo_enana	Eight	eight.001
olelo_Hawaii	Eight	eight.001
Fakauvea	Eight	eight.001
Fakafutuna	Eight	eight.001
Fakamae	Eight	eight.001
Fakatikopia	Eight	eight.001
Fesau_Futuna	Eight	eight.001
Gagana_Samoa	Eight	eight.001
Kapingamarangi	Eight	eight.001
Lea_Fakatonga	Eight	eight.001
Leo_Pukapuka	Eight	eight.001
Leo_Tuvalu	Eight	eight.001
Luangiua	Eight	eight.001
MeleFila	Eight	eight.001
Nukeria	Eight	eight.001
Penrhyn	Eight	eight.001
Rapanui	Eight	eight.001
RennellBellona	Eight	eight.001
Reo_Magareva	Eight	eight.001
Reo_Maori	Eight	eight.001
Reo_Raivavae	Eight	eight.001
Reo_Rarotongan	Eight	eight.001
Reo_Rurutu	Eight	eight.001
Reo_Tahiti	Eight	eight.001
Reo_o_te_Tuamotu	Eight	eight.001
Sikaiana	Eight	eight.001
TarangapakaAnuta	Eight	eight.001
VaeakauTaumako	Eight	eight.001
Vagahau_Niue	Eight	eight.001
olelo_Hawaii	Fifty	fifty.007
Fakafutuna	Fifty	fifty.002
Gagana_Samoa	Fifty	fifty.008
Gagana_Samoa	Fifty	fifty.008
Lea_Fakatonga	Fifty	fifty.008
Leo_Pukapuka	Fifty	fifty.002
Leo_Pukapuka	Fifty	fifty.008
Leo_Pukapuka	Fifty	fifty.001
Nukeria	Fifty	fifty.004
Reo_Magareva	Fifty	fifty.008
Reo_Maori	Fifty	fifty.003
Reo_Raivavae	Fifty	fifty.005
Reo_Rarotongan	Fifty	fifty.008
Reo_Rurutu	Fifty	fifty.005
VaeakauTaumako	Fifty	fifty.009
Vagahau_Niue	Fifty	fifty.006
eo_enana	Five	five.002
olelo_Hawaii	Five	five.002
Fakauvea	Five	five.002
Fakafutuna	Five	five.002
Fakamae	Five	five.002
Fakatikopia	Five	five.002
Fesau_Futuna	Five	five.002
Gagana_Samoa	Five	five.002
Kapingamarangi	Five	five.002
Lea_Fakatonga	Five	five.002
Leo_Pukapuka	Five	five.002
Leo_Tuvalu	Five	five.002
Luangiua	Five	five.002
Manihiki	Five	five.002
Manihiki	Five	five.001
MeleFila	Five	five.002
Nukeria	Five	five.002
Penrhyn	Five	five.002
Proto_Polynesian	Five	five.002
Rapanui	Five	five.002
RennellBellona	Five	five.002
Reo_Magareva	Five	five.002
Reo_Maori	Five	five.002
Reo_Raivavae	Five	five.003
Reo_Rarotongan	Five	five.002
Reo_Rurutu	Five	five.003
Reo_Tahiti	Five	five.003
Reo_Tahiti	Five	five.002
Reo_o_te_Tuamotu	Five	five.002
Sikaiana	Five	five.002
TarangapakaAnuta	Five	five.002
VaeakauTaumako	Five	five.002
Vagahau_Niue	Five	five.002
eo_enana	Four	four.001
olelo_Hawaii	Four	four.001
Fakauvea	Four	four.001
Fakafutuna	Four	four.001
Fakamae	Four	four.001
Fakatikopia	Four	four.001
Fesau_Futuna	Four	four.001
Gagana_Samoa	Four	four.001
Kapingamarangi	Four	four.001
Lea_Fakatonga	Four	four.001
Leo_Pukapuka	Four	four.001
Leo_Tuvalu	Four	four.001
Luangiua	Four	four.001
Manihiki	Four	four.001
MeleFila	Four	four.001
Nukeria	Four	four.001
Penrhyn	Four	four.001
Proto_Polynesian	Four	four.001
Rapanui	Four	four.001
RennellBellona	Four	four.001
Reo_Magareva	Four	four.001
Reo_Maori	Four	four.001
Reo_Raivavae	Four	four.001
Reo_Rarotongan	Four	four.001
Reo_Rurutu	Four	four.001
Reo_Tahiti	Four	four.001
Reo_o_te_Tuamotu	Four	four.001
Sikaiana	Four	four.001
TarangapakaAnuta	Four	four.001
VaeakauTaumako	Four	four.001
Vagahau_Niue	Four	four.001
eo_enana	I	i.001
eo_enana	I	i.002
olelo_Hawaii	I	i.002
Fakauvea	I	i.002
Fakafutuna	I	i.001
Fakafutuna	I	i.002
Fakamae	I	i.002
Fakatikopia	I	i.001
