Language	Parameter	Cognateset
Megleno_Romanian	I	92
Istro_Romanian	I	92
Aromanian	I	92
Romanian	I	92
Dalmatian	I	92
Friulian	I	92
Gardenese_Ladin	I	92
Fassano_Ladin	I	92
Rumantsch_Grischun	I	92
Sursilvan_Romansh	I	92
Surmiran_Romansh	I	92
Vallader_Romansh	I	92
Lanzo_Torinese_Piemontese	I	93
Barbania_Piemontese	I	93
Carmagnola_Piemontese	I	93
Vercellese_Piemontese	I	93
Ravennate_Romagnol	I	93
Ferrarese_Emiliano	I	93
Carpigiano_Emiliano	I	93
Reggiano_Emiliano	I	93
Rapallo_Ligurian	I	93
Genoese_Ligurian	I	93
Stella_Ligurian	I	93
Venice_Venetian	I	93
Primiero_Venetian	I	93
Bellunese_Venetian	I	93
Standard_Italian	I	92
Grosseto_Italian	I	92
Neapolitan	I	92
Logudorese	I	92
Campidanese	I	92
Palermitan_Sicilian	I	92
Messinese_Sicilian	I	92
Catanian_Sicilian	I	92
South-Eastern_Sicilian	I	92
Central_Catalan	I	92
North-Western_Catalan	I	92
Minorcan_Catalan	I	92
Castelló_de_la_Plana_Catalan	I	92
Valencian_Catalan	I	92
Manises_Catalan	I	92
Castilian_Spanish	I	92
Provençal_Occitan	I	92
Megleno_Romanian	I	93
Istro_Romanian	I	93
Aromanian	I	93
Romanian	I	93
Dalmatian	I	93
Friulian	I	93
Gardenese_Ladin	I	93
Fassano_Ladin	I	93
Sursilvan_Romansh	I	93
Surmiran_Romansh	I	93
Vallader_Romansh	I	93
Standard_Italian	I	93
Grosseto_Italian	I	93
Neapolitan	I	93
Logudorese	I	93
Campidanese	I	93
Palermitan_Sicilian	I	93
Messinese_Sicilian	I	93
Catanian_Sicilian	I	93
South-Eastern_Sicilian	I	93
Central_Catalan	I	93
North-Western_Catalan	I	93
Minorcan_Catalan	I	93
Castelló_de_la_Plana_Catalan	I	93
Valencian_Catalan	I	93
Manises_Catalan	I	93
Castilian_Spanish	I	93
Provençal_Occitan	I	93
Megleno_Romanian	all	1
Istro_Romanian	all	1
Aromanian	all	1
Romanian	all	1
Dalmatian	all	1
Friulian	all	1
Gardenese_Ladin	all	1
Fassano_Ladin	all	1
Rumantsch_Grischun	all	1
Sursilvan_Romansh	all	1
Surmiran_Romansh	all	1
Vallader_Romansh	all	1
Lanzo_Torinese_Piemontese	all	1
Barbania_Piemontese	all	1
Carmagnola_Piemontese	all	1
Vercellese_Piemontese	all	1
Ravennate_Romagnol	all	1
Ferrarese_Emiliano	all	1
Carpigiano_Emiliano	all	1
Reggiano_Emiliano	all	1
Rapallo_Ligurian	all	1
Genoese_Ligurian	all	1
Stella_Ligurian	all	1
Venice_Venetian	all	1
Primiero_Venetian	all	1
Bellunese_Venetian	all	1
Standard_Italian	all	1
Grosseto_Italian	all	1
Neapolitan	all	1
Logudorese	all	1
Campidanese	all	1
Palermitan_Sicilian	all	1
Messinese_Sicilian	all	1
Catanian_Sicilian	all	1
South-Eastern_Sicilian	all	1
Central_Catalan	all	1
North-Western_Catalan	all	1
Minorcan_Catalan	all	1
Castelló_de_la_Plana_Catalan	all	1
Valencian_Catalan	all	1
Manises_Catalan	all	1
Castilian_Spanish	all	1
Provençal_Occitan	all	1
Megleno_Romanian	ashes	2
Istro_Romanian	ashes	2
Aromanian	ashes	2
Romanian	ashes	2
Dalmatian	ashes	2
Friulian	ashes	2
Gardenese_Ladin	ashes	2
Fassano_Ladin	ashes	2
Rumantsch_Grischun	ashes	2
Sursilvan_Romansh	ashes	2
Surmiran_Romansh	ashes	2
Vallader_Romansh	ashes	2
Lanzo_Torinese_Piemontese	ashes	2
Barbania_Piemontese	ashes	2
Carmagnola_Piemontese	ashes	2
Vercellese_Piemontese	ashes	2
Ravennate_Romagnol	ashes	2
Ferrarese_Emiliano	ashes	2
Carpigiano_Emiliano	ashes	2
Reggiano_Emiliano	ashes	2
Rapallo_Ligurian	ashes	2
Genoese_Ligurian	ashes	-297
Stella_Ligurian	ashes	2
Venice_Venetian	ashes	2
Primiero_Venetian	ashes	2
Bellunese_Venetian	ashes	2
Standard_Italian	ashes	2
Grosseto_Italian	ashes	2
Neapolitan	ashes	2
Logudorese	ashes	2
Campidanese	ashes	2
Palermitan_Sicilian	ashes	2
Messinese_Sicilian	ashes	2
Catanian_Sicilian	ashes	2
South-Eastern_Sicilian	ashes	2
Central_Catalan	ashes	2
North-Western_Catalan	ashes	2
Minorcan_Catalan	ashes	2
Castelló_de_la_Plana_Catalan	ashes	2
Valencian_Catalan	ashes	2
Manises_Catalan	ashes	2
Castilian_Spanish	ashes	2
Provençal_Occitan	ashes	2
Megleno_Romanian	ashes	-298
Aromanian	ashes	-299
Istro_Romanian	bark	-300
Aromanian	bark	3
Romanian	bark	4
Friulian	bark	4
Gardenese_Ladin	bark	4
Fassano_Ladin	bark	4
Rumantsch_Grischun	bark	4
Sursilvan_Romansh	bark	4
Surmiran_Romansh	bark	4
Vallader_Romansh	bark	4
Lanzo_Torinese_Piemontese	bark	5
Barbania_Piemontese	bark	4
Carmagnola_Piemontese	bark	4
Vercellese_Piemontese	bark	4
Ravennate_Romagnol	bark	4
Ferrarese_Emiliano	bark	8
Carpigiano_Emiliano	bark	8
Reggiano_Emiliano	bark	4
Rapallo_Ligurian	bark	4
Genoese_Ligurian	bark	4
Stella_Ligurian	bark	4
Venice_Venetian	bark	4
Primiero_Venetian	bark	4
Bellunese_Venetian	bark	4
Standard_Italian	bark	8
Grosseto_Italian	bark	9
Neapolitan	bark	4
Logudorese	bark	8
Campidanese	bark	4
Palermitan_Sicilian	bark	4
Messinese_Sicilian	bark	4
