Language	Parameter	Cognateset
Ache	ABOVE	tomorrow.014
Amondawa	ABOVE	above.013
Apiaka	ABOVE	above.011
Arawete	ABOVE	above.014
Aweti	ABOVE	above.012
Chiriguano	ABOVE	above.011
Guajajara	ABOVE	above.013
Guaja	ABOVE	above.014
Guarani	ABOVE	above.012
Guarayo	ABOVE	above.013
Guarayo	ABOVE	above.013
Kaapor	ABOVE	above.012
Kaiowa	ABOVE	above.012
Kamajura	ABOVE	above.013
Kayabi	ABOVE	above.013
Mawe	ABOVE	above.005
Mawe	ABOVE	above.015
Mbya	ABOVE	above.012
Mbya	ABOVE	above.012
Nheengatu	ABOVE	above.016
Nheengatu	ABOVE	above.015
Siriono	ABOVE	above.011
Tapiete	ABOVE	above.011
Tapirape	ABOVE	above.013
Teko	ABOVE	above.009
Teko	ABOVE	above.012
Tembe	ABOVE	above.011
Tembe	ABOVE	above.013
Tupinamba	ABOVE	above.012
Urueuwauwau	ABOVE	above.013
Warazu	ABOVE	above.011
Wayampi	ABOVE	above.013
Wayampi	ABOVE	above.011
Yuki	ABOVE	above.011
Zoe	ABOVE	above.011
Zoe	ABOVE	above.012
Amondawa	ACAI_PALM	acai_palm.011
Apiaka	ACAI_PALM	acai_palm.001
Apiaka	ACAI_PALM	chicha.006
Arawete	ACAI_PALM	chicha.006
Guajajara	ACAI_PALM	chicha.006
Guaja	ACAI_PALM	acai_palm.004
Guarani	ACAI_PALM	chicha.006
Kaapor	ACAI_PALM	acai_palm.012
Mawe	ACAI_PALM	chicha.006
Mbya	ACAI_PALM	acai_palm.004
Nheengatu	ACAI_PALM	mountain_soursop.004
Teko	ACAI_PALM	chicha.006
Tembe	ACAI_PALM	chicha.006
Warazu	ACAI_PALM	acai_palm.011
Wayampi	ACAI_PALM	chicha.006
Zoe	ACAI_PALM	acai_palm.004
Amondawa	ACHIOTE	achiote.010
Apiaka	ACHIOTE	achiote.010
Arawete	ACHIOTE	achiote.010
Aweti	ACHIOTE	achiote.011
Chiriguano	ACHIOTE	achiote.010
Guajajara	ACHIOTE	achiote.010
Guarani	ACHIOTE	achiote.010
Kaapor	ACHIOTE	achiote.010
