Language	Parameter	Cognateset
North Altay	(finger)nail (n.)	307
Old Turkic	(finger)nail (n.)	307
Azeri	(finger)nail (n.)	307
Bashkir	(finger)nail (n.)	307
Chuvash	(finger)nail (n.)	307
Crimean Tatar	(finger)nail (n.)	307
Dolgan	(finger)nail (n.)	307
Gagauz	(finger)nail (n.)	307
Karakalpak	(finger)nail (n.)	307
Karachay Balkar	(finger)nail (n.)	307
Karaim	(finger)nail (n.)	307
Kazakh	(finger)nail (n.)	307
Khakas	(finger)nail (n.)	307
Khalaj	(finger)nail (n.)	307
Kumyk	(finger)nail (n.)	307
Middle Chulym	(finger)nail (n.)	307
Nogai	(finger)nail (n.)	307
Salar	(finger)nail (n.)	307
Kazan Tatar	(finger)nail (n.)	307
Turkish	(finger)nail (n.)	307
Turkmen	(finger)nail (n.)	307
Tuvan	(finger)nail (n.)	307
Uzbek	(finger)nail (n.)	307
Yakut	(finger)nail (n.)	307
Cuman	(finger)nail (n.)	308
North Altay	(finger)nail (n.)	308
South Altay	(finger)nail (n.)	308
Kirghiz	(finger)nail (n.)	308
Saryg Yugur	(finger)nail (n.)	308
Shor	(finger)nail (n.)	308
Tofa	(finger)nail (n.)	308
Uyghur	(finger)nail (n.)	308
Baraba Tatar	1PL pronoun	891
Cuman	1PL pronoun	891
North Altay	1PL pronoun	891
Old Turkic	1PL pronoun	891
South Altay	1PL pronoun	891
Azeri	1PL pronoun	891
Bashkir	1PL pronoun	891
Chuvash	1PL pronoun	891
Crimean Tatar	1PL pronoun	891
Dolgan	1PL pronoun	891
Gagauz	1PL pronoun	891
Karakalpak	1PL pronoun	891
Karachay Balkar	1PL pronoun	891
Karaim	1PL pronoun	891
Kazakh	1PL pronoun	891
Khakas	1PL pronoun	891
Khalaj	1PL pronoun	891
Kirghiz	1PL pronoun	891
Kumyk	1PL pronoun	891
Middle Chulym	1PL pronoun	891
Nogai	1PL pronoun	891
Salar	1PL pronoun	891
Saryg Yugur	1PL pronoun	891
Shor	1PL pronoun	891
Kazan Tatar	1PL pronoun	891
Tofa	1PL pronoun	891
Turkish	1PL pronoun	891
Turkmen	1PL pronoun	891
Tuvan	1PL pronoun	891
Uyghur	1PL pronoun	891
Uzbek	1PL pronoun	891
Yakut	1PL pronoun	891
Baraba Tatar	1SG	31
Cuman	1SG	31
North Altay	1SG	31
Old Turkic	1SG	31
South Altay	1SG	31
Azeri	1SG	31
Bashkir	1SG	31
Crimean Tatar	1SG	31
Dolgan	1SG	31
Gagauz	1SG	31
Karakalpak	1SG	31
Karachay Balkar	1SG	31
Karaim	1SG	31
Kazakh	1SG	31
Khakas	1SG	31
Khalaj	1SG	31
Kirghiz	1SG	31
Kumyk	1SG	31
Middle Chulym	1SG	31
Nogai	1SG	31
Salar	1SG	31
Saryg Yugur	1SG	31
Shor	1SG	31
Kazan Tatar	1SG	31
Tofa	1SG	31
Turkish	1SG	31
Turkmen	1SG	31
Tuvan	1SG	31
Uyghur	1SG	31
Uzbek	1SG	31
Yakut	1SG	31
Chuvash	1SG	32
Baraba Tatar	2PL pronoun	911
Cuman	2PL pronoun	911
North Altay	2PL pronoun	911
Old Turkic	2PL pronoun	911
South Altay	2PL pronoun	911
Azeri	2PL pronoun	911
Bashkir	2PL pronoun	911
Chuvash	2PL pronoun	911
Crimean Tatar	2PL pronoun	911
Gagauz	2PL pronoun	911
Karakalpak	2PL pronoun	911
Karachay Balkar	2PL pronoun	911
Karaim	2PL pronoun	911
Kazakh	2PL pronoun	911
Khakas	2PL pronoun	911
Khalaj	2PL pronoun	911
Kirghiz	2PL pronoun	911
Kumyk	2PL pronoun	911
Middle Chulym	2PL pronoun	911
Nogai	2PL pronoun	911
Salar	2PL pronoun	911
Saryg Yugur	2PL pronoun	911
Shor	2PL pronoun	911
Kazan Tatar	2PL pronoun	911
Tofa	2PL pronoun	911
Turkish	2PL pronoun	911
Turkmen	2PL pronoun	911
Tuvan	2PL pronoun	911
Uyghur	2PL pronoun	911
Uzbek	2PL pronoun	911
Yakut	2PL pronoun	911
Dolgan	2PL pronoun	912
Chuvash	2SG pronoun	16
Nogai	2SG pronoun	16
Uzbek	2SG pronoun	16
Baraba Tatar	2SG pronoun	17
Cuman	2SG pronoun	17
North Altay	2SG pronoun	17
Old Turkic	2SG pronoun	17
South Altay	2SG pronoun	17
Azeri	2SG pronoun	17
Bashkir	2SG pronoun	17
Crimean Tatar	2SG pronoun	17
Dolgan	2SG pronoun	17
Gagauz	2SG pronoun	17
Karakalpak	2SG pronoun	17
Karachay Balkar	2SG pronoun	17
Karaim	2SG pronoun	17
Kazakh	2SG pronoun	17
Khakas	2SG pronoun	17
Khalaj	2SG pronoun	17
Kirghiz	2SG pronoun	17
Kumyk	2SG pronoun	17
Middle Chulym	2SG pronoun	17
Salar	2SG pronoun	17
Saryg Yugur	2SG pronoun	17
Shor	2SG pronoun	17
Kazan Tatar	2SG pronoun	17
Tofa	2SG pronoun	17
Turkish	2SG pronoun	17
Turkmen	2SG pronoun	17
Tuvan	2SG pronoun	17
Uyghur	2SG pronoun	17
Yakut	2SG pronoun	17
Baraba Tatar	3SG pronoun	82
Cuman	3SG pronoun	82
North Altay	3SG pronoun	82
Old Turkic	3SG pronoun	82
South Altay	3SG pronoun	82
Azeri	3SG pronoun	82
Bashkir	3SG pronoun	82
Chuvash	3SG pronoun	82
Crimean Tatar	3SG pronoun	82
Gagauz	3SG pronoun	82
Karakalpak	3SG pronoun	82
Karachay Balkar	3SG pronoun	82
Karaim	3SG pronoun	82
Kazakh	3SG pronoun	82
Khakas	3SG pronoun	82
Khalaj	3SG pronoun	82
Kirghiz	3SG pronoun	82
Kumyk	3SG pronoun	82
Middle Chulym	3SG pronoun	82
Nogai	3SG pronoun	82
Salar	3SG pronoun	82
Saryg Yugur	3SG pronoun	82
Shor	3SG pronoun	82
Kazan Tatar	3SG pronoun	82
Tofa	3SG pronoun	82
Turkish	3SG pronoun	82
Turkmen	3SG pronoun	82
Tuvan	3SG pronoun	82
Uyghur	3SG pronoun	82
Uzbek	3SG pronoun	82
Dolgan	3SG pronoun	83
Yakut	3SG pronoun	83
Baraba Tatar	above	599
Cuman	above	599
North Altay	above	599
Old Turkic	above	599
South Altay	above	599
Azeri	above	599
Bashkir	above	599
